City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,huarmey,-10.0681,-78.1522,20.63,84,43,3.77,PE,1714866817
1,waddan,29.1614,16.139,19.62,39,0,4.14,LY,1714866956
2,edinburgh of the seven seas,-37.0676,-12.3116,14.31,76,46,15.31,SH,1714866775
3,bredasdorp,-34.5322,20.0403,12.71,81,8,1.86,ZA,1714866956
4,wynyard,-41.0,145.7167,14.7,54,2,1.07,AU,1714866956
5,jamestown,42.097,-79.2353,14.75,82,100,6.69,US,1714866956
6,blackmans bay,-43.0167,147.3167,12.07,78,0,0.86,AU,1714866753
7,rikaze,29.25,88.8833,5.99,59,100,1.42,CN,1714866957
8,port-aux-francais,-49.35,70.2167,3.59,61,100,8.81,TF,1714866957
9,waitangi,-43.9535,-176.5597,12.12,84,55,3.13,NZ,1714866765
10,ushuaia,-54.8,-68.3,2.81,87,100,4.12,AR,1714866778
11,wailua homesteads,22.0669,-159.378,27.24,79,75,7.2,US,1714866802
12,vilyuchinsk,52.9306,158.4028,4.15,97,100,1.76,RU,1714866957
13,puerto baquerizo moreno,-0.9,-89.6,23.86,88,82,3.54,EC,1714866958
14,tiksi,71.6872,128.8694,-4.64,95,100,2.18,RU,1714866958
15,znamenka,52.4167,41.4311,5.46,62,28,3.55,RU,1714866958
16,puerto ayora,-0.7393,-90.3518,24.19,96,94,3.13,EC,1714866958
17,port mathurin,-19.6833,63.4167,25.7,75,19,8.05,MU,1714866785
18,anadyr,64.75,177.4833,-1.72,68,0,8.94,RU,1714866958
19,olonkinbyen,70.9221,-8.7187,-1.42,99,100,7.45,SJ,1714866959
20,iskateley,67.6803,53.1512,-15.8,100,96,1.87,RU,1714866959
21,buloh kasap,2.5536,102.764,24.97,97,96,0.72,MY,1714866959
22,hawaiian paradise park,19.5933,-154.9731,24.85,79,75,4.12,US,1714866770
23,adamstown,-25.066,-130.1015,21.19,65,20,8.78,PN,1714866757
24,fecamp,49.7579,0.3746,12.49,90,39,3.98,FR,1714866959
25,grytviken,-54.2811,-36.5092,0.24,78,16,5.03,GS,1714866959
26,qaqortoq,60.7167,-46.0333,-0.58,63,0,0.74,GL,1714866820
27,goure,13.9835,10.2704,29.33,13,5,2.75,NE,1714866960
28,college,64.8569,-147.8028,17.26,33,75,3.09,US,1714866960
29,longyearbyen,78.2186,15.6401,-6.09,79,20,3.09,SJ,1714866755
30,kitimat,54.0524,-128.6534,23.21,44,71,0.86,CA,1714866960
31,sabang,5.8933,95.3214,28.72,77,100,0.96,ID,1714866960
32,yuzhno-kurilsk,44.0306,145.8556,2.99,90,100,3.98,RU,1714866860
33,punta arenas,-53.15,-70.9167,4.06,56,0,5.14,CL,1714866897
34,corfu,39.62,19.9197,16.77,82,20,0.0,GR,1714866961
35,invercargill,-46.4,168.35,10.01,87,57,4.02,NZ,1714866961
36,holualoa,19.6228,-155.9522,25.91,73,75,5.14,US,1714866961
37,kununurra,-15.7667,128.7333,26.99,44,67,4.63,AU,1714866961
38,borogontsy,62.6683,131.1683,3.03,94,100,0.55,RU,1714866962
39,tingo maria,-9.2895,-76.0088,22.06,99,41,0.63,PE,1714866962
40,klyuchi,52.2667,79.1667,11.23,69,100,1.78,RU,1714866962
41,flying fish cove,-10.4217,105.6791,26.82,83,100,5.66,CX,1714866843
42,polygyros,40.3744,23.4383,12.75,62,44,1.88,GR,1714866963
43,west island,-12.1568,96.8225,27.99,78,100,7.72,CC,1714866761
44,turpan,42.9333,89.1667,25.57,11,85,1.65,CN,1714866963
45,letlhakeng,-24.0944,25.0298,15.57,46,0,1.96,BW,1714866963
46,kavieng,-2.5744,150.7967,28.75,78,91,1.92,PG,1714866964
47,crane,31.3974,-102.3501,17.64,87,87,13.75,US,1714866773
48,yellowknife,62.456,-114.3525,8.29,67,0,3.6,CA,1714866846
49,katsuura,35.1333,140.3,20.73,71,30,7.15,JP,1714866805
50,lompoc,34.6391,-120.4579,17.79,61,100,4.12,US,1714866870
51,port elizabeth,-33.918,25.5701,17.83,81,0,3.6,ZA,1714866756
52,taourirt,34.4073,-2.8973,19.65,38,49,0.21,MA,1714866964
53,klaksvik,62.2266,-6.589,8.51,96,97,6.98,FO,1714866965
54,at taj,24.2049,23.2857,23.79,31,45,4.08,LY,1714866965
55,kouango,4.9934,19.9619,24.27,77,41,2.1,CF,1714866965
56,codrington,-38.2667,141.9667,14.76,78,74,2.66,AU,1714866906
57,ancud,-41.8697,-73.8203,6.46,84,93,6.94,CL,1714866780
58,lazaro cardenas,17.9583,-102.2,26.96,67,5,4.36,MX,1714866895
59,thunder bay,48.4001,-89.3168,7.99,100,100,1.54,CA,1714866872
60,marsh harbour,26.5412,-77.0636,24.02,75,5,6.52,BS,1714866966
61,laramie,41.3114,-105.5911,15.43,34,0,9.77,US,1714866676
62,bethel,41.3712,-73.414,14.32,73,20,3.6,US,1714866465
63,dehdasht,30.7949,50.5646,18.99,64,1,1.62,IR,1714866966
64,walvis bay,-22.9575,14.5053,15.53,88,0,3.6,NA,1714866967
65,sao joao da barra,-21.6403,-41.0511,22.05,87,0,5.14,BR,1714866967
66,lata,40.1629,-8.3327,15.51,97,56,2.19,PT,1714866967
67,dalandzadgad,43.5708,104.425,15.52,31,51,2.99,MN,1714866967
68,puerto deseado,-47.7503,-65.8938,5.73,63,92,6.88,AR,1714866967
69,flin flon,54.7682,-101.865,11.91,37,75,5.14,CA,1714866833
70,colonia,50.9333,6.95,12.2,92,100,2.06,DE,1714866839
71,nemuro,43.3236,145.575,5.55,82,100,4.28,JP,1714866761
72,christchurch,-43.5333,172.6333,16.34,71,97,2.57,NZ,1714866363
73,constantia,44.1833,28.65,8.38,79,12,5.53,RO,1714866804
74,isafjordur,66.0755,-23.124,2.1,76,27,2.39,IS,1714866780
75,badger,64.8,-147.5333,17.21,28,20,3.09,US,1714866968
76,kodiak,57.79,-152.4072,7.73,66,100,4.63,US,1714866781
77,san patricio,28.017,-97.5169,28.92,76,59,6.8,US,1714866969
78,port lincoln,-34.7333,135.8667,16.64,69,4,4.12,AU,1714866969
79,albany,42.6001,-73.9662,18.29,56,96,1.79,US,1714866969
80,mandalgovi,45.7625,106.2708,10.72,50,99,3.82,MN,1714866969
81,hermanus,-34.4187,19.2345,14.27,81,10,2.79,ZA,1714866970
82,san jose de guanipa,8.8872,-64.1651,32.27,45,100,5.29,VE,1714866970
83,arkhangel'sk,64.5401,40.5433,-1.04,93,100,3.0,RU,1714866970
84,zaozersk,69.4005,32.4476,-5.87,98,96,2.36,RU,1714866970
85,noosa heads,-26.3833,153.15,21.17,86,94,4.09,AU,1714866971
86,kralendijk,12.15,-68.2667,28.99,84,75,7.72,BQ,1714866971
87,kuhdasht,33.535,47.6061,14.03,65,16,1.41,IR,1714866971
88,yatou,37.15,122.3833,13.46,97,100,0.32,CN,1714866971
89,roma,43.2128,-75.4557,18.23,55,0,4.63,US,1714866972
90,yeraliyev,43.2,51.65,14.47,78,79,1.51,KZ,1714866972
91,sinop,41.7711,34.8709,8.43,99,99,1.58,TR,1714866972
92,morondava,-20.2833,44.2833,23.54,63,0,4.05,MG,1714866972
93,puerto natales,-51.7236,-72.4875,0.8,81,51,3.55,CL,1714866972
94,fort bragg,35.139,-79.006,21.57,92,20,0.0,US,1714866973
95,atafu village,-8.5421,-172.5159,29.18,77,100,2.84,TK,1714866973
96,kaiapoi,-43.3783,172.6401,16.42,69,62,2.57,NZ,1714866973
